Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Cia Pesquera Camanchaca SA,17761200,91155,Chile,Chile,10005,Consumer Non-Cyclical,6.374676959,5.408650029,5.387790318,5.441851712,8.193310695,12.71079506,20.29488168,20.5128899,19.80403946,18.96679564,19.40575693,19.21666984,18.36749853
SACI Falabella,197266,91213,Chile,Chile,10004,Consumer Cyclical,12.42349101,10.84142962,9.727098401,9.53024604,14.6325091,21.17206502,29.67555138,23.408817,18.97580371,15.93319932,14.27617255,12.56868876,10.89583913
Quinenco SA,197389,91233,Chile,Chile,10008,Financial,8.005571803,9.169700666,10.09666313,11.07641684,19.11826103,33.07487134,55.70906152,46.76627065,37.12688766,30.41089168,27.22791785,24.93899134,22.28744501
Axxion SA,219484,91364,Chile,Chile,10008,Financial,14.16358467,1.908595821,2.428111703,2.471462685,4.362898705,8.318628101,15.16600546,12.58176385,10.35105687,8.301584332,7.259590931,7.214078874,7.173896821
Banco de Chile,219621,91388,Chile,Chile,10008,Financial,3.12934326,4.888260854,6.015722658,7.304449948,12.43444548,21.48501657,35.04696532,31.39497902,26.50752939,23.2818622,23.04276963,21.10949688,19.49371287
Coca-Cola Embonor SA,219837,91417,Chile,Chile,10005,Consumer Non-Cyclical,2.727972835,11.40062132,13.16249934,17.46572649,35.64205594,81.92399226,200.5993256,348.3183316,642.8126246,1378.060362,3044.861605,5625.549274,7862.628585
Quilicura SA,328115,91498,Chile,Chile,10008,Financial,0.426321243,1.37960038,1.547550812,1.699331813,3.058304457,5.433876214,9.390867603,7.961402187,6.318737189,5.268086182,4.745463146,4.212208167,3.749723669
Itau CorpBanca,333161,91602,Chile,Chile,10008,Financial,9.981467135,10.64199202,11.09335608,11.74288161,20.27007486,35.73018508,61.4159236,53.02106447,43.80318092,37.69615179,34.39001028,31.86910115,29.38248037
Banvida SA,384313,91670,Chile,Chile,10008,Financial,0.038092407,0.044207398,0.049086897,0.051305923,0.091607533,0.167193677,0.284738768,0.244981056,0.203639003,0.18407521,0.172783925,0.154884997,0.140557677
Sigdo Koppers SA,391551,91722,Chile,Chile,10011,Industrial,4.997137115,4.983333764,5.517713906,6.684478033,9.862321415,13.57144848,17.81528696,17.75085477,17.03781779,15.94879394,15.10816839,14.07558533,13.29473232
Cencosud SA,8020523,91816,Chile,Chile,10005,Consumer Non-Cyclical,36.53607095,39.31104143,41.57546353,43.50411339,70.87258251,114.2332835,182.8548382,183.4542555,175.8197548,168.1112498,166.3396411,164.4543019,160.4402559
SONDA SA,814774,91855,Chile,Chile,10013,Technology,11.55672305,14.71061241,18.36770098,22.53526348,40.84918087,80.43598647,164.7662556,244.0907037,369.4076648,603.3302642,1084.951855,2078.960705,3770.194911
Invernova SA,815282,91858,Chile,Chile,10008,Financial,4.869191305,1.078701824,1.248021442,1.411921073,2.52479128,4.405780496,7.421289814,6.154674686,4.874119692,4.065550432,3.662180929,3.283706056,2.942676709
Empresas La Polar SA,8270610,91869,Chile,Chile,10004,Consumer Cyclical,142.9980416,131.542136,125.5775137,127.1388743,189.5097156,265.8861779,371.2350657,289.8745177,235.7968092,191.6502147,171.1483716,157.1816959,141.5843584
Enel Distribucion Chile SA,8541904,91899,Chile,Chile,10014,Utilities,1.271131927,2.219848128,4.502261273,9.745154427,54.38687255,182.6985456,598.9348192,1084.197335,1385.899456,1454.979418,1581.162718,1393.177055,1231.934929
Masisa SA,8902662,91922,Chile,Chile,10011,Industrial,23.97177413,28.61781652,32.45150781,31.22153585,36.46155207,50.56637919,67.49126943,67.87726344,64.60298818,65.19222329,65.23899507,66.01352333,64.26853718
Cia Agropecuaria Copeval SA,8995974,91931,Chile,Chile,10011,Industrial,41.55987921,7.835376217,8.942800756,9.812422743,13.15165379,17.85783255,24.03535404,24.62815328,24.42835171,23.80563665,23.95611808,23.93553947,23.2616869
Inmobiliaria San Patricio SA,9076574,91938,Chile,Chile,10008,Financial,1.32268948,2.019897225,2.4459418,2.728566389,4.718011112,8.059979717,13.54395388,11.2459681,8.685699335,6.984824844,6.131398358,5.476303786,4.894641373
Salfacorp SA,9218729,91946,Chile,Chile,10011,Industrial,62.6352938,59.19685889,71.59621457,74.85593072,82.75906867,119.7373295,172.4794538,159.1928824,158.5652214,179.916236,176.6144773,174.7675575,198.7359313
Forus SA,975313,91974,Chile,Chile,10004,Consumer Cyclical,2.170429604,1.923913189,1.619082085,1.339710688,1.73322364,2.174528677,2.941111239,2.356319078,1.967694424,1.726774187,1.581635971,1.390595683,1.194312772
Blanco y Negro SA,9831463,91976,Chile,Chile,10003,Communications,23.76975683,21.73819543,22.3714834,22.87155953,34.93067677,53.85316093,81.6196007,80.46132076,76.1272942,72.35028173,70.79160876,69.6495238,67.78312364
Ripley Corp SA,9866974,91984,Chile,Chile,10004,Consumer Cyclical,43.87114535,43.05381516,42.49928617,41.28556541,60.38906716,83.71415653,117.4631034,92.30434138,74.06583463,60.44972891,53.93208336,48.49665407,42.80157398
Empresas AquaChile SA,12116046,93650,Chile,Chile,10005,Consumer Non-Cyclical,0.623620756,0.824649112,1.802260291,4.076374462,13.25811948,30.51463023,51.38381588,44.3518371,36.0519759,28.1057147,24.07756056,25.09954338,27.55310235
Australis Seafoods SA,25457130,93824,Chile,Chile,10005,Consumer Non-Cyclical,0.97816481,0.582796681,0.271998025,0.116498767,0.063918623,0.031512301,0.013381347,0.003745199,0.000947684,0.000214856,3.96E-05,6.66E-06,7.93E-07
Scotiabank Chile SA,163307,124782,Chile,Chile,10008,Financial,19.23873,2.523383887,2.84152809,3.081755257,5.386730213,9.345290506,15.80467255,13.24327563,10.69993639,8.998214061,8.188928083,7.390156145,6.635835786
Potasios de Chile SA,28617826,128396,Chile,Chile,10002,Basic Materials,155.2212913,10.37657942,8.046872464,5.935079001,6.915481805,8.465210256,11.57936691,11.07729862,10.95069003,10.75358948,10.9017643,10.41878568,9.728400466
Energia Latina SA,28709700,128520,Chile,Chile,10014,Utilities,6.947956038,7.777767125,9.964058302,12.74684968,25.76574983,47.29019987,75.73141032,59.78569871,42.19239559,31.47934676,27.40934939,25.72204187,26.08912435
Sociedad Matriz SAAM SA,29494567,128830,Chile,Chile,10011,Industrial,1.73330189,1.95781379,1.970903833,1.951760623,2.360134975,3.024536211,3.95135898,3.932310826,3.822424367,3.663460303,3.56703697,3.344840689,3.13488966
Ingevec SA,17176840,128947,Chile,Chile,10011,Industrial,4.246147262,5.097347613,5.461918155,5.815201053,7.342553612,9.865429176,13.28841689,13.48472465,13.22925042,12.85474655,13.0213888,12.15805681,11.5414641
Watt's Alimentos SA,319031,129312,Chile,Chile,10005,Consumer Non-Cyclical,0.29815298,0.292684378,0.289724348,0.302613033,0.494366678,0.792319688,1.27219285,1.312433081,1.248244983,1.202192546,1.194644248,1.189277824,1.146290224
Inversiones La Construccion SA,26549142,130073,Chile,Chile,10006,Diversified,60.82743799,58.00711572,55.15604295,52.99873827,70.82417461,98.48015179,137.8038598,130.7939908,116.9115364,104.7168812,97.13196153,89.99159786,82.76245363
Hortifrut SA,22202747,130108,Chile,Chile,10005,Consumer Non-Cyclical,20.53281171,14.43410958,19.30512342,18.87097866,33.7923681,56.64605801,93.37893901,94.56168676,86.48957135,81.4929011,78.62511073,80.34557014,79.44369651
Echeverria Izquierdo SA,32084662,130239,Chile,Chile,10011,Industrial,17.97228122,17.56296454,18.03541348,18.47872918,22.89176496,29.09023865,36.47855016,34.7800378,33.37743237,31.69643505,31.69909032,29.84560099,27.66523821
Empresa Constructora Moller y Perez-Cotapos SA,16464031,131411,Chile,Chile,10011,Industrial,3.348181845,3.941136164,4.62406963,5.072132834,6.545097687,8.410103317,10.75232682,10.57916039,9.872761408,9.205497094,9.019274675,8.614112203,8.255848755
Nitratos de Chile SA,29611830,131804,Chile,Chile,10008,Financial,6.236796259,6.024250055,7.249108792,8.487189663,17.18928302,32.01155615,58.41167385,50.58822412,41.78535777,34.44359695,30.71268075,27.91198559,25.34282569
Inmobiliaria Sixterra SA,36181396,163533,Chile,Chile,10008,Financial,0.736304579,0.709816678,0.687723697,0.662138681,1.043016604,1.678100368,2.767854334,2.497507246,1.772912622,1.401720838,1.224713322,1.134772293,1.091740029
SMU SA,24301861,190242,Chile,Chile,10005,Consumer Non-Cyclical,16.97342731,15.996814,14.35305056,12.73879178,17.91636534,25.94768869,38.56996209,37.09013095,35.27572316,33.78679988,34.06646437,33.40320807,32.42257886
AFP Cuprum SA,43867850,190698,Chile,Chile,10008,Financial,8.53E-05,3.56E-05,1.57E-05,5.24E-06,1.72E-06,4.37E-07,8.53E-08,1.18E-08,4.88E-09,3.96E-09,3.64E-09,3.39E-09,3.14E-09
Oxiquim SA,15186362,191009,Chile,Chile,10004,Consumer Cyclical,10.13507371,9.923067417,10.3525218,8.970431304,14.16305762,19.56942788,27.68590587,21.70537893,18.24601597,14.8619359,13.33683155,11.59011744,10.04276553
Banco Internacional,11889514,192334,Chile,Chile,10008,Financial,2.920542367,3.730638442,4.375018145,4.901058664,8.611648242,14.99947223,25.4752437,21.00478978,17.00171816,13.74671291,12.20588292,11.06008558,10.06890727
Enel Chile SA,48611904,193785,Chile,Chile,10014,Utilities,5.778777906,6.660025992,8.376786301,9.644398788,20.61469813,44.82492058,94.59508858,98.12440665,86.15883961,75.67068575,70.43602113,68.89849166,66.16011462
Empresas Lipigas SA,17260066,194941,Chile,Chile,10014,Utilities,0.577227542,0.582062725,0.589904705,0.592382204,1.045790613,1.892532648,3.418675227,3.305522364,2.860897449,2.602600225,2.364485289,2.184280733,1.954686555
